nodes, analytic, equivalent, interpolation 
0.0, 100.0, 100.0, 100.0
0.0142857142857, 83.2815909594, 83.1218548661, 83.2824269075
0.0285714285714, 69.6040456025, 69.4426446608, 69.6052116026
0.0428571428571, 57.7398276104, 57.6063547012, 57.7406569154
0.0571428571429, 47.1157356278, 47.0163714351, 47.1160264899
0.0714285714286, 37.4089259833, 37.3440520539, 37.4088288631
0.0857142857143, 28.4162406895, 28.3846306838, 28.4160473571
0.1, 20.0, 20.0, 20.0
