position, error_equivalent_resistance, error_linear_interpolation
3.000000e-01, 1.080025e-12, 1.745690e+00
9.000000e-01, 1.023182e-12, 1.745690e+00
1.500000e+00, 1.080025e-12, 1.745690e+00
2.100000e+00, 1.023182e-12, 1.745690e+00
2.700000e+00, 1.080025e-12, 1.745690e+00
3.250000e+00, 1.080025e-12, 1.307399e-12
3.750000e+00, 1.136868e-12, 1.080025e-12
4.250000e+00, 1.136868e-12, 7.958079e-13
