position, error_equivalent_resistance, error_linear_interpolation
0.000000e+00, 1.250555e-12, 2.066327e+00
6.666667e-01, 1.250555e-12, 2.066327e+00
1.333333e+00, 1.193712e-12, 2.066327e+00
2.000000e+00, 1.307399e-12, 2.066327e+00
2.666667e+00, 1.307399e-12, 2.066327e+00
3.300000e+00, 1.193712e-12, 1.875833e-12
3.900000e+00, 1.080025e-12, 1.818989e-12
4.500000e+00, 9.663381e-13, 1.762146e-12
