numberOfNodes,maximum_error
2, 1.4210854715202004e-14
3, 2.1316282072803006e-14
4, 2.8421709430404007e-14
5, 1.4210854715202004e-14
6, 2.8421709430404007e-14
7, 2.8421709430404007e-14
8, 1.4210854715202004e-14
9, 7.1054273576010019e-14
10, 2.8421709430404007e-14
