position, error_equivalent_resistance, error_linear_interpolation
0.000000e+00, 0.000000e+00, 2.154255e+00
8.571429e-01, 0.000000e+00, 2.154255e+00
1.714286e+00, 1.136868e-13, 2.154255e+00
2.571429e+00, 1.136868e-13, 2.154255e+00
3.300000e+00, 3.410605e-13, 9.663381e-13
3.900000e+00, 5.684342e-13, 1.023182e-12
4.500000e+00, 7.958079e-13, 1.136868e-12
