nodesPosition, nodesTemperature
0.000000, 342.78571428571302703858
0.66666666666666662966, 340.28571428571302703858
1.33333333333333325932, 337.78571428571308388200
2.00000000000000000000, 335.28571428571308388200
2.66666666666666651864, 332.78571428571308388200
3.12500000000000000000, 330.62499999999880628820
3.37500000000000000000, 326.87499999999880628820
3.62500000000000000000, 323.12499999999880628820
3.87500000000000000000, 319.37499999999886313162
4.12500000000000000000, 315.62499999999886313162
4.37500000000000000000, 311.87499999999891997504
