position, error_equivalent_resistance, error_linear_interpolation
0.000000e+00, 1.136868e-13, 1.776316e+00
6.666667e-01, 5.684342e-14, 1.776316e+00
1.333333e+00, 1.136868e-13, 1.776316e+00
2.000000e+00, 1.136868e-13, 1.776316e+00
2.666667e+00, 5.684342e-14, 1.776316e+00
3.250000e+00, 1.136868e-13, 1.591616e-12
3.750000e+00, 1.705303e-13, 1.477929e-12
4.250000e+00, 1.705303e-13, 1.307399e-12
